"filename", "language", "JSON", "Django HTML", "Markdown", "TypeScript", "JSON with Comments", "XML", "TypeScript JSX", "Rust", "SQL", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\bindings\generated.ts", "TypeScript", 0, 0, 0, 251, 0, 0, 0, 0, 0, 0, 0, 66, 12, 329
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\bindings\index.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\chessground\Chessground.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 8, 80
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\About.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 6, 59
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\ErrorComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 4, 71
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\Sidebar.css.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 7, 77
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\TopBar.css.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\TopBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 10, 161
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\AnnotationHint.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 260, 0, 0, 0, 0, 1, 4, 265
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\Board.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 703, 0, 0, 0, 0, 10, 46, 759
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\BoardAnalysis.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 246, 0, 0, 0, 0, 0, 13, 259
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\BoardGame.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 769, 0, 0, 0, 0, 29, 91, 889
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\Clock.css.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\Clock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 5, 63
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\CompleteMoveCell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 9, 149
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\components\boards\EditingCard.css.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
